id,gender,year,grade in course
student_1,female,1,A
student_2,male,2,B
student_3,male,3,A
student_4,male,1,C
student_5,male,2,A
student_6,female,3,A
student_7,female,3,B
student_8,male,2,F
student_9,male,4,B
student_10,male,1,B
student_11,male,2,A
student_12,female,1,C
student_13,female,3,A
student_14,male,1,B
student_15,male,2,A
student_16,male,3,C
student_17,male,1,A
student_18,female,2,A
student_19,female,3,B
student_20,male,3,F
student_21,male,2,B
student_22,male,4,B
student_23,male,1,A
student_24,female,2,C
student_25,female,1,A
student_26,male,3,B
student_27,male,1,A
student_28,male,2,C
student_29,male,3,A
student_30,female,1,A
student_31,female,2,B
student_32,male,3,F
student_33,male,3,B
student_34,male,2,B
student_35,male,4,A
student_36,female,1,C
student_37,female,2,A
student_38,male,1,B
student_39,male,3,A
student_40,male,2,A